city,country,customer_id,customer_name,datetime,ecommerce_website_name,failure_reason,order_id,payment_txn_id,payment_txn_success,payment_type,price,product_category,product_id,product_name,qty
Lake Benjamintown,India,b63a619c-8239-405a-b504-ef9aa3f2b7ac,Angel Juarez,2023-11-10T00:44:22.194Z,AliExpress,Insufficient Funds,9191afb0-18a3-46a6-b478-28580fd3b77e,5a6c85f4-ec69-4d10-94d8-0603c662c252,N,Card,289.86,Automobile,bb8071bb-a0b1-47cf-9f10-1edcebac10f6,career,4
Colleenborough,India,2550796e-2d66-4bb7-8cd7-29606fab77dd,Anthony Small,2024-02-15T11:23:13.520Z,BestBuy,Card Expired,a9c03388-c8f8-40c1-b93c-d62d5b486864,26a33e6b-93fd-483f-b33e-5f81f9dd2be3,N,Internet Banking,82.76,Automobile,65bca4f3-13e7-4f70-917c-ebf016d95686,picture,4
Nicholasfort,Canada,b5874fec-3cb7-4755-804c-35d66b61f0a7,Michael Little,2023-12-17T10:54:10.860Z,eBay,Card Expired,da58dbe0-9f7f-472d-b71c-ce527728d1fa,2b33f829-2dc6-40c6-8619-bd70c50e6d80,N,Wallet,814.35,Home,ac665d36-15bf-44b4-af76-e8700d8791d3,together,9
Port Ricky,Canada,18adf0f4-7239-4d46-8d32-b54818467e91,Jeremy Green,2024-03-18T22:31:59.157Z,Amazon,Authentication Failed,99cfe426-cf56-4b1e-a93a-42b7e5c4dd2f,5a6fe9de-a295-4ea3-b7d8-da4ca13b9c0e,N,Wallet,570.09,Home,a9550cae-1f88-42e7-ba85-8c48f5f78bf9,question,4
Lesterchester,UK,89726d26-5dd0-42f1-9c36-6a7b2b834ee7,Jeffrey Stevens,2024-04-21T11:20:46.345Z,AliExpress,Authentication Failed,a9221763-05b7-4a01-a65e-a13fcd736b68,3befc44e-93ea-411d-b48d-9577ebeeb3b6,N,Wallet,125.21,Sports,70e838c7-3226-4ca9-a4bc-7269bc21d475,treatment,5
Andreafort,India,e9be13ab-bf34-4fef-af4d-cd783a9fa97f,Loretta Obrien,2024-01-23T06:45:55.868Z,eBay,"",42eca5c7-76f5-493e-9f5a-2d30deef0c57,16be0852-869d-4fef-909d-3cd375807801,N,UPI,519.62,Automobile,823ea269-7c2f-44e3-ab22-8fdbe6fda3d3,machine,4
Port Brian,India,7b749537-2014-4842-a461-a01c76005f06,Robert Hawkins,2024-06-14T19:18:51.158Z,Amazon,"",ed387b9f-0594-4d87-9e0d-1b9a21d16ece,3d86f24b-1e0a-4a77-bd57-91559ba83b04,N,UPI,51.59,Clothing,5a1c9cfe-5b8f-486a-a416-1c401a4ca39f,Republican,9
East Kimberly,UK,3e00cc26-6082-40aa-99bc-41da555cf7bc,Sara Marshall,2024-09-16T20:50:39.980Z,BestBuy,"",4fce3f2f-2926-4d87-97a3-c0a5421c5c34,c4d4aaf3-94c5-4dbe-8fba-a2eadbe80976,Y,Card,641.8,Beauty,f0f7b434-7e5f-4376-97c2-697deee49507,computer,2
Herringfort,Canada,b923355c-80ea-4d4a-ad1d-b0b8b51abaaa,Alan Hobbs,2024-09-22T23:36:24.580Z,Amazon,"",d19b52ef-b0e6-4da7-88d0-83bddb39c81f,83edca53-4cb1-465e-b380-12799105cce1,Y,UPI,107.08,Clothing,e6403890-c8a2-40e8-9429-22f753434eac,draw,9
Lake Catherineport,Germany,9345c222-59ce-4816-9c08-8ad614e294f5,Amber White,2024-03-06T08:20:48.503Z,BestBuy,"",8a22b172-548b-4ec5-8598-55ea01b53951,824ac393-0206-47dc-994b-089fc7f4cfbc,N,Card,403.44,Home,bf5763b8-296d-4bf3-be78-0fa4d20207c9,she,5
North Amyhaven,Australia,b4e312e0-b791-4683-92d6-914b7bd7607d,Robyn Chambers,2024-06-15T12:23:55.753Z,eBay,"",0c25115e-747f-4af3-80f5-948227685824,004a119f-e7d3-4650-961c-f23c47a3d2b3,Y,Card,482.06,Automobile,3444b197-b974-4e6f-9fb4-92eae229d8f1,operation,6
Jamesville,Germany,8364dc56-ba50-4cb5-af15-d0aadfef56b8,Travis Medina,2024-05-22T21:39:50.150Z,AliExpress,"",402ae512-109f-4168-b08f-dc7e8a211d67,1723c6ef-282e-4e5b-9659-7917d4163dab,Y,Card,141.74,Electronics,bdc6cd16-8dc9-4b30-87ca-67bbd73e57c8,policy,6
Port Haleybury,Canada,bb49c75a-1e9f-4bef-ba43-167cf992109f,Patricia Hanson,2024-03-06T14:04:10.827Z,BestBuy,"",890df7d5-f533-4b0c-a80f-ba752b05de32,1146436b-79e2-419f-bc67-8f6c11b041e1,N,Internet Banking,846.09,Home,17a3193b-2773-4f82-a7f5-100674b1476d,cost,8
Cookstad,Germany,b3e0b0b0-f4cf-44a9-9ae9-bf488d545c03,Desiree Jenkins,2024-09-09T03:15:10.491Z,eBay,"",422475c5-e12e-4538-96d0-47f8ce96974d,c0e005a7-d897-4da7-b26d-5999c0b681d5,Y,Wallet,598.5,Clothing,b3f00b9f-3e84-4242-a720-d39d932e944e,again,2
Timothybury,Germany,cc7cc3b9-acd4-46cb-b981-8e4a865208bf,Mr. Paul Ryan,2024-09-14T00:30:55.020Z,BestBuy,Payment Gateway Timeout,c2d0f57d-4ab3-4b2c-ba41-938a13aa0cdc,4f0a5c4b-d815-44bd-831c-04427478bbde,N,Wallet,810.57,Sports,473de64e-c2f3-4b78-8d55-ce69669cdc32,partner,8
Eileenshire,Canada,aea9f34c-5ccf-4bb0-aa44-57bc55f72df1,Michael Davidson,2024-02-18T22:40:42.295Z,eBay,"",1ea6d302-7efb-40e7-8769-93f5f65704f8,a0d7d986-8090-43a3-abe1-ab568bf8644b,Y,Card,277.89,Automobile,0e118475-f394-449c-b47e-5da82b6d8a6e,physical,1
Collinsland,USA,f18f2553-8123-4c8b-9552-c47f183fca29,David Perez,2024-02-12T18:12:01.281Z,BestBuy,Insufficient Funds,378c9a31-9eb6-4344-b291-5265412f3de3,de4ef71d-bee6-45d0-ba0a-deffbd0b7167,N,UPI,869.71,Automobile,47b63536-6fe3-4c3b-ab34-c1f722b67bc9,later,9
North Bryanfort,Canada,266d28d3-2862-40d3-9f7c-29a52570a809,Ashley Miller,2024-01-27T13:33:54.609Z,Amazon,Card Expired,bee06b49-5ec3-468e-93f0-a9cb9af574f8,d433dfc3-8f0a-4fb1-8718-edd8e4486db7,N,Wallet,474.14,Home,7c9740de-487f-4f8a-b7bb-b7a8a45c75ef,member,5
Stephanieberg,Canada,c8b0b8e1-4e4f-4e92-8d60-094a19e3395c,Ashley Crawford DVM,2024-08-05T01:30:50.332Z,BestBuy,"",6224df5b-14b4-4d34-b2f7-52ebb3385126,ec86b75b-b022-443e-9be6-7493ca13903b,N,Internet Banking,617.11,Automobile,18c13b27-b899-49ce-ac94-b0c2d49a548a,prove,10
Donnaville,USA,75b8974a-7037-4751-ad4f-a4362a633166,Linda Wright,2024-02-24T17:56:05.934Z,Amazon,Payment Gateway Timeout,dcb8c371-aada-4c1e-9999-4e3b0139f22c,c9e36697-b75b-4126-936e-f4b89cddb363,N,Internet Banking,937.58,Sports,3d6560ef-bd76-4c6d-9c69-462b17953864,true,8
Janetland,Canada,1ae19e31-2ab1-4633-8b81-3416a659f497,David Chang,2024-09-23T06:22:35.681Z,Flipkart,"",18da76ea-c13b-4ebe-b398-6c05d7d294a2,80e389d3-5f27-421c-b3b1-612bcb53bcca,Y,Wallet,70.46,Home,b449e3f5-ad51-41ec-bb79-cd7da74e796b,control,8
Bakermouth,USA,93e3897b-895e-4e3e-8aec-10c1f8398c9e,Larry Tran,2024-09-12T22:24:56.739Z,Amazon,"",97f9a471-551e-44d3-8294-1837e250f85d,c6791eab-d0d6-487b-b630-556a01c37379,Y,UPI,919.27,Beauty,f3fab969-e88e-42f5-a2f6-63e26d530a5a,hand,9
Booneville,UK,03c7bf77-c042-422f-9246-1d1253478cad,Kirk Jackson,2024-04-21T22:00:31.431Z,BestBuy,"",20e39272-a992-4f02-a12c-896fc8f7dd70,76d487e4-7c8d-4610-bfde-93b77bdadc9b,Y,Card,349.18,Beauty,c62bd183-1519-4d9a-a39d-2eaf5b518f63,believe,7
Teresaborough,Australia,577cc6e9-7c9a-4f48-b394-0ce068efb18a,Matthew Dickerson,2024-08-29T14:05:35.097Z,Flipkart,Authentication Failed,ec8661af-6aab-4f6e-ab91-20f497209dd6,688b96ac-9a1d-487b-8179-9cbd8241b6b8,N,Card,325.92,Electronics,ecf52089-3c0c-4cda-89da-df4503efb21f,evidence,3
Port Thomas,India,5660d24b-2ee3-4833-95ad-7a6fbb9565c0,Teresa Sanchez,2024-09-11T21:17:46.933Z,Amazon,"",9ec2979b-4938-4567-b961-ca63bb9fd8ed,506b4eb5-145c-4bac-8f84-b5b3e24e1be4,Y,Wallet,93.93,Home,fe46627c-169f-47d0-98d4-b52c8ba022be,final,5
Dominguezview,Canada,328718f5-0a1d-4a99-a45b-c887fdf1b2ac,Jean Lopez,2024-05-18T04:48:35.956Z,Flipkart,Payment Gateway Timeout,a19aebcc-e6f8-4613-b55c-355d10d99668,381cf7d9-63da-42bd-8f50-829d3b273e67,N,UPI,731.02,Automobile,19e059da-6d5a-4cf3-a005-b0b89689031e,agency,7
Georgetown,Australia,c52da0ff-6428-468e-956f-c638739196b2,William Becker,2024-05-25T01:53:44.777Z,Flipkart,"",e5d76f60-e238-4ec6-83da-0d40d22d676a,8ddd0c36-8ba0-438c-a1ad-f4818b403469,Y,Wallet,177.61,Beauty,124c2dd4-13b7-40c4-9bd7-744dd388c7ba,night,9
Port Elizabeth,UK,d5756516-8a24-4b6f-8476-445c2f79fc4e,Haley Perry,2024-09-29T10:40:42.933Z,eBay,Authentication Failed,1f034e8e-eab1-4b6c-bf8b-13e32d6c8898,b7b52389-7b1a-4eeb-9730-93d37b3b03a7,N,UPI,638.36,Beauty,4c124d9a-4729-41a8-b922-14dfdedf83c7,respond,1
New Paul,Australia,7374596d-02a5-4bd0-aa83-1efd4f8c7f0b,Shannon Trevino,2024-02-27T06:58:50.952Z,Flipkart,"",7a34f152-9add-469c-bad1-4976d37d494f,4394cc03-5431-481b-a6c1-86974d82c020,Y,Wallet,145.47,Home,138e5082-a7ec-4b32-98a6-ae0365b82e83,realize,9
Wardport,Germany,f84af689-2f81-42a6-a7d3-f702eb565edb,Katherine Gill,2024-07-12T08:48:01.744Z,BestBuy,Authentication Failed,e11f1ee7-3460-4810-9931-67b87cb3449b,b3b65bb9-ae84-4a09-b270-94ce9fbf2f08,N,UPI,406.37,Sports,8652226c-863e-47b4-b16b-865e56343b2c,foot,1
North Joyce,Germany,06e86de1-6462-499f-a738-342309b906f1,Spencer Murphy,2024-09-25T06:10:42.903Z,AliExpress,Insufficient Funds,d14de3ec-fc2a-473b-aaf7-11b21568e317,8c1749b3-9d4c-40a1-8be6-d116b75c08ef,N,Internet Banking,139.76,Home,51225559-ac5f-4f41-bae2-f9890f26b8f4,example,6
Samanthahaven,Germany,82035656-3566-4719-96ed-ee2c52d7d4e8,Scott Maddox,2024-10-01T00:02:01.993Z,BestBuy,Authentication Failed,e61588ee-6b16-45bc-b21b-fabc10aac760,fa96ced1-8ead-4bc2-907c-dd58e32d07fe,N,Internet Banking,420.81,Electronics,6f68095d-0231-4a89-ac95-5e49dfae3f5d,certain,4
Briantown,Germany,18f59a2f-8575-4d8f-b2d2-cf5177dafe23,Mark May,2024-09-21T09:30:20.416Z,AliExpress,Insufficient Funds,f74cb922-8667-4e0c-b567-22790bae1111,c8eb0e3e-2b23-4714-90eb-79ec9dc5bef0,N,Wallet,373.81,Electronics,90725e89-1d5d-4a2a-9d4c-29116898ff0b,window,6
South Christinafort,Australia,88be0682-8055-43db-a2ab-18801e02661d,Thomas Hood,2024-02-16T23:18:08.972Z,Flipkart,"",3e07d789-7540-4c95-b19b-54136705ccb1,c921c3e3-45b5-4dc5-adb2-e8a6e68db230,Y,Card,333.21,Clothing,920ac67c-5695-4420-a086-aa729234146e,design,6
Johnsonfort,UK,dc0a16e2-14d2-4c69-b46d-c5e031d85493,Crystal Miller,2024-06-25T18:11:22.738Z,BestBuy,"",32374be7-ccba-4d51-82d8-5166101b992a,e5186114-d703-4b2d-8336-214861ef5b18,Y,Internet Banking,213.84,Automobile,f0eb9334-f5e8-44d0-ae65-37aff7102c24,first,4
West Austin,Australia,42dc96c7-1b0f-47fe-9801-dc25839b553a,Bonnie Gonzalez,2024-03-09T20:09:40.146Z,BestBuy,Card Expired,9ae12b94-23c2-4f22-b8b6-9bddaf753c4f,9e9d34a6-b512-4fb4-82ae-259a55e52fb3,N,Card,522.26,Home,7217f14e-2fa4-43f3-918f-9f86e96006cc,reason,6
Port Crystal,Australia,544979ed-7653-4925-af54-dd447675d3ff,Tina Johnson,2024-01-28T19:38:59.028Z,BestBuy,"",a5f33fc6-bffc-403f-b1d6-1b0ba94579a9,c9ed9bfd-f5c8-479e-8c94-40bf7bb45cd2,Y,Wallet,797.81,Home,3de47d57-9485-4aec-9eb6-a846c07da081,heart,6
Darrylland,Australia,4bddb46d-f38c-45d1-a46a-5e6fd3b13689,Vernon Foley,2024-04-06T10:59:09.024Z,AliExpress,"",069b0e13-9f1c-4a88-9500-41be6abee354,fdf31181-015c-4192-9b73-bc0ffd53703f,Y,UPI,393.33,Sports,ee02d94e-32f5-4b19-a637-b324c5dd0c0c,drug,1
Sarahfort,UK,f04e72da-d76a-4996-8ac7-324459c28dca,Kyle Davis,2024-06-08T16:26:49.542Z,Flipkart,"",41b776a5-592c-4b11-a48f-6b535046254c,635a8fb6-e02b-4931-a9d0-f166286c6123,Y,UPI,11.29,Beauty,594df3c6-0734-472d-b28b-4cb3d265577f,eat,4
West Lynnbury,USA,2268ea32-dfc0-4b2a-b21d-4fc2171f2d8d,Cindy Wallace,2024-03-02T11:09:56.457Z,Flipkart,Payment Gateway Timeout,b1cfce0c-4534-474c-b681-39ae93a4eaf1,8e90ede0-8938-48c4-9f3d-9716a6ecdb0f,N,Internet Banking,554.6,Beauty,8dcdb0c1-d002-4f07-a440-20613a69805b,war,6
Flemingborough,Australia,0154310c-db91-4736-ba5d-89d0261ed765,Lori Wilcox,2023-11-21T02:42:04.635Z,Amazon,"",6cfa0345-02b4-4a07-a131-4a29d51d28ac,204ea5eb-7e7a-469b-afdf-6e003337363a,Y,Card,235.83,Clothing,0f5d4589-cfc9-49ec-ae7c-2c44f9d06206,cost,4
Lake Jenniferton,India,c1786cac-01d1-4314-a1a5-ff2aef41b3a7,Joy Myers,2024-07-17T12:25:21.903Z,eBay,"",6224ee3c-85b2-4819-bfe7-34b4b0bc1db6,5e9e8613-1b82-402a-be2a-2639a994f638,Y,UPI,332.9,Electronics,79f3d3bf-cdc0-4854-b6a3-ddebcba51490,point,9
Stewartbury,UK,6c261c6b-c96f-470f-baad-fef02a05610b,Justin Warren,2024-03-19T21:32:46.203Z,BestBuy,"",d8d49172-4367-4434-b789-f1a349ace081,ecdcc520-83c2-40e1-bd98-a6849a2fdd6c,Y,Card,959.46,Automobile,04c9832b-52ee-4f85-b976-c7a29fb8ef55,network,7
Lake Kathy,USA,9c5f8bbe-244d-4f1e-a964-358f64b781d2,Jack Cisneros,2024-05-13T21:41:17.256Z,AliExpress,"",fdf5b868-3016-4dd7-b176-679d55cf7018,8238aaef-45e9-4c35-98ef-dd73c9d78df3,N,Card,870.56,Clothing,d227b804-b986-4ce7-9b70-faa055f69435,idea,6
New Brittany,India,ae0a9fdf-b395-4ca4-838e-08544bcb269c,Caleb Everett,2023-10-31T14:29:00.478Z,Flipkart,"",9aa1387f-b0f2-4587-9f7b-666174234da4,d006d254-d09e-4c66-8171-174360afc534,Y,UPI,199.88,Sports,1dd514b4-462a-4360-8b99-97f30b8774c8,share,9
Pruittshire,Germany,c79dda1b-de10-4564-bd79-98e4df290d7f,Jenna Payne,2024-01-10T02:55:18.322Z,BestBuy,"",9bcac37c-463e-4817-ad2a-279c55473a6b,ee0064af-9245-466d-96a5-4de2bc9ea112,N,UPI,72.28,Sports,a7ecd16f-e5c3-4a38-8d0c-07d3a7596bd8,turn,3
South Oliviaville,UK,eff6215f-d72d-479c-ae83-372b4c39dc65,James Walters,2023-11-03T16:36:44.594Z,BestBuy,"",d0bf304f-cf27-498d-9c0c-05085aa6e3e3,7dc520e3-15f8-4a9e-b405-18501bc4f860,Y,Internet Banking,681.34,Electronics,6d03d650-c42d-49fd-b15a-1b143e0b575b,really,10
Lake Erinberg,USA,2acc7275-9024-4713-95e0-07c0b74d9241,Rhonda Terry,2024-06-13T17:23:27.236Z,eBay,Payment Gateway Timeout,0e1db438-43ca-47e1-8ee7-0786c0839212,93edb15e-b3be-4b26-83a8-50d3b86ec53a,N,Wallet,285.31,Sports,210d1db2-c6f2-4433-9695-b4a549b1b9dc,computer,6
West Richardport,Germany,df6b07fb-f424-43f5-9d94-879751547cb5,Casey Johnson,2024-07-19T20:11:10.951Z,Amazon,"",3b6b7bbe-401e-47ab-a18c-4000bccb3e8b,b0dec43c-955b-48f3-b816-9d815440e691,Y,UPI,85.53,Electronics,3c8a6440-0866-41fa-8d24-64e4dbabe45b,prove,3
West Andrewmouth,India,10b3d25e-aa86-4d32-8166-a85995acecbb,Lisa Lloyd,2024-09-02T14:53:22.719Z,Amazon,"",e0dddb35-0feb-4ea0-b04d-b7b41fd85c38,5e632aa9-5915-47ae-a73a-87fb55ebef78,N,UPI,813.6,Home,033b45d3-e2ac-439e-bcae-f009b665dca0,different,4
Kimberlyville,Australia,5ee095e6-fcd3-4695-afeb-4588b79c5703,Nicole Ayala,2024-02-26T20:27:02.341Z,BestBuy,"",9af577b2-6d66-47cd-acc4-7107afe4cdff,9765b4c8-d9c9-4e77-8ccc-8e41491d782f,N,UPI,566.92,Home,6909f548-64e7-46ad-b965-47c125ae1a2c,suggest,9
West Angela,India,453d6d0f-c5fd-4189-889d-1eced16dd9d2,Mandy Marshall,2024-02-26T06:08:26.793Z,AliExpress,Insufficient Funds,bd8ea13c-dfc1-4125-b6d8-7c5340372fa5,37a1bed7-55b6-4845-aa87-aa8d7d0453df,N,UPI,889.84,Clothing,e00a558e-bd11-452e-a22f-60aa3502b334,type,10
Lake Kristina,Australia,6a74c660-3968-4b6b-84de-fe563f4c2b34,Jacob Martin,2024-01-21T08:13:33.200Z,Amazon,Authentication Failed,dccda43f-ee13-4124-a0bd-fbaf62b11c63,a4f7f811-aef1-4db2-bb3a-2e003ed7913f,N,UPI,375.66,Home,4ca5acca-ee43-452d-b838-8961da22c599,specific,9
East Sarahborough,USA,5c26716b-a043-4607-9fef-decaf0280487,Jamie Ray MD,2024-09-02T17:53:50.592Z,Amazon,"",689e74db-cfa2-4e00-899f-9e8ac5aa6b58,33c3e22a-2dfc-4632-9838-b9fbcfcdc0f6,N,Internet Banking,250.62,Electronics,3d99b62a-f8b0-4ecf-8588-fffa32584811,put,3
North Sabrina,Germany,c79f3802-03b6-41cd-b40e-53a083b1e6f3,Bruce Johnston,2023-12-13T22:46:28.909Z,AliExpress,"",d8256926-cdca-41ff-a009-4424e84d5cd3,c570d9dc-d4e5-48e0-bffb-efa09d19f59d,N,Internet Banking,430.92,Sports,386a82fd-1802-4012-8064-9391a09c083b,power,3
North Dennis,India,0ca1d85a-9941-4cd3-82d9-58c180489924,Daniel Stevens,2024-05-10T03:19:15.281Z,AliExpress,Card Expired,9ce93a31-daff-414a-93e6-022964bd773b,c66742e4-bbd5-46ac-acd7-a43878d26584,N,Wallet,827.86,Automobile,a4c7da3e-ef6a-4f1b-bda8-381fb82c3c4e,company,10
East Tinastad,Canada,dc36f9a2-a1ec-4058-bd3d-1cf09496f7a4,Mason Hamilton,2024-06-03T20:37:08.060Z,eBay,"",3af45ffe-3eab-4d41-a540-152a96a394cf,1529ac2b-e319-4f41-b30b-f85d5700ebff,Y,Internet Banking,733.98,Automobile,62d50e24-599e-4104-949a-0fda7593f7b2,war,9
Williamchester,India,e2e4e0b8-79bb-4d4c-88e3-8af38651a82b,Laura Copeland,2024-06-28T02:52:39.152Z,Flipkart,"",8093ef90-4645-4e64-b030-6da362b15d49,8de4a1e9-8fdb-4f09-a39f-3adcd5f45ce4,Y,Wallet,122.69,Beauty,adac7e22-b976-4752-b85d-20f5f532d17a,series,4
South Garrettfort,USA,8c434c4b-c7d9-420f-a260-7f4af58b46ad,Alison Jones,2024-04-06T12:51:20.441Z,AliExpress,Authentication Failed,8f349637-cd26-4902-852d-b1b31b87c860,f5b0ce07-c939-4cda-a76c-751ff48d71f0,N,Card,855.26,Automobile,4ddf4dae-48a9-46d7-9235-4c241e22d990,so,10
West Danafort,USA,16a8d005-5b39-4a71-a66c-69d530d38a05,Raymond Jones,2024-04-23T15:16:33.609Z,Flipkart,"",ed73e5eb-5d64-4adb-8531-cd0c288980f6,dd68d59d-bf14-4ec1-ae94-ee6809fdf22e,Y,Wallet,779.24,Home,d5c2a721-2387-4168-9ba3-24b8e4299f8d,school,1
Ryanfurt,Germany,69d2ed8d-acb9-4b69-b527-9d6e32a26ecc,Laura Adams,2024-05-09T00:34:51.820Z,Amazon,Payment Gateway Timeout,3fc939ae-0444-4624-865c-7b03743f369c,f2520c38-f7a3-464f-be6f-1cb63156ebc4,N,Card,291.61,Automobile,a96c12a2-6252-4e83-ac4a-ae3ab21ff5d5,director,8
Meyerhaven,India,9ee02956-8ce9-4796-a7f2-11485b6b6db2,James Hill,2024-01-07T11:23:07.144Z,Amazon,"",ac9abfc9-f401-4c20-afa2-17aabed94042,7f0961c9-b3f8-4793-a627-58367512e468,Y,Card,513.82,Beauty,a729528f-6f6d-4d27-a9b0-7039bbe547a3,budget,8
South Dylan,Australia,fdb1cfe0-1581-485b-8ae0-d391b58d1957,Ryan Wu,2024-06-26T20:46:27.348Z,AliExpress,Authentication Failed,ade20159-fc68-445d-ae9c-b59d2952e16a,8bca04e5-a8ec-4f14-a664-1a57749269e1,N,Wallet,569.91,Beauty,88fc2a8f-e8f3-4c33-8363-0af2c1bdd6f6,religious,6
Kariville,India,7a076447-cf48-472c-8c98-43cb92702c87,Dawn Smith,2024-06-26T09:08:57.170Z,eBay,"",7f323e3c-7903-414b-b173-1e215267b39f,469ad7fc-3dd5-4ed3-911a-845dbc19d8e3,Y,UPI,597.05,Beauty,d2046928-6042-4c72-aaf3-415dbd8ef22e,important,5
Whitefort,Germany,9b31cf59-512f-4921-b5ee-75d0cc4a5d1a,Emily Porter,2023-11-30T15:06:39.412Z,AliExpress,"",19048317-5ad9-4dbe-b523-703e93e4334b,e403b04a-af4f-4ee5-93e6-e4f5972034b9,N,Wallet,520.92,Home,ab0257a7-00ce-4e91-ae1b-e994fd64a298,town,3
North Stephenberg,Australia,1028917d-a00b-48bb-a32a-9606ff2270e8,Jessica Jones,2024-06-20T01:35:30.952Z,eBay,"",37079767-8260-48a1-82e5-e775f8e2c72f,3dcb278e-4c48-42b3-816f-eedf8a860b8e,Y,Internet Banking,302.78,Sports,3f2357c4-6645-43b5-a313-597f92745061,adult,2
Phillipschester,Australia,a70a62b8-b6fd-4269-bb0e-4b3dbef3613f,Keith Miller,2024-04-18T03:38:10.029Z,Flipkart,Insufficient Funds,07e2db87-37dc-4596-9329-c9df0df909ee,1645898c-f5e8-48da-ae06-3652d8f466b7,N,Wallet,313.35,Beauty,f0968ae5-cc0d-4e8c-8c8c-683dcbe14148,lay,3
Marissastad,Canada,ad7e35bb-7916-41cc-94a1-fc3d9f6b1668,David Ruiz,2024-02-14T07:58:55.178Z,AliExpress,"",45cbb28b-1367-41db-9f1d-8492eab3719d,2bbdbf6a-c499-4c5b-bb0b-f8c54eb0ba1e,Y,Internet Banking,325.15,Clothing,317e450e-e7ad-40c3-b9b2-bf4e4bcec110,serve,5
South Dominiqueville,Canada,ab8cbc3c-904b-4469-853d-2a423baf828c,Karen Stanley,2024-09-17T08:59:40.972Z,Amazon,"",0fcfdfc7-f2a8-4d6a-b1d9-4b76ab403cca,5e2abcb7-7123-4644-bf73-ed10c097d071,Y,UPI,414.8,Clothing,41f9adfc-4ee8-4a82-b445-c9eb3d976601,character,6
